Strategy,OOS_trades,OOS_win_rate_pct,OOS_sharpe,OOS_profit_factor,OOS_total_return_pct,Qualified
ATR_Spike_Bear_Short,0,0,0,0,0,no
Price_Below_All_EMAs_Short,0,0,0,0,0,no
PSAR_ADX_Strong_Short,0,0,0,0,0,no
4H_Momentum_Burst,0,0,0,0,0,no
WR_Mid_Cross_Bear_Short,0,0,0,0,0,no
CMF_Deep_Bear_Short,0,0,0,0,0,no
WilliamsR_Swing,0,0,0,0,0,no
Multi_EMA_Full_Cascade_Short,0,0,0,0,0,no
RSI_Bear_Slope_Short,0,0,0,0,0,no
1h_Donchian_CMF_Bear_Short,0,0,0,0,0,no
Aroon_Bear_Strong_Short,0,0,0,0,0,no
EFI_Bear_Cross_Short,0,0,0,0,0,no
OBV_Divergence_1h,0,0,0,0,0,no
Donchian_Squeeze,0,0,0,0,0,no
MTF_RSI_Dual_Bear_Short,0,0,0,0,0,no
MTF_EMA_Confirm_Bear_Short,0,0,0,0,0,no
1h_MACD_Cross_Bear_Short,0,0,0,0,0,no
1h_RSI_60_Break_Bear_Short,0,0,0,0,0,no
1h_EMA_Death_Cross_Bear_Short,0,0,0,0,0,no
MTF_CMF_Both_Neg_Short,0,0,0,0,0,no
1h_Fisher_Zero_Cross_Short,0,0,0,0,0,no
1h_WR_OB_Cross_Bear_Short,0,0,0,0,0,no
MTF_MACD_Both_Neg_Short,0,0,0,0,0,no
1h_CMF_Zero_Cross_Bear_Short,0,0,0,0,0,no
1h_StochRSI_OB_Cross_Bear_Short,0,0,0,0,0,no
EFI_Momentum,0,0,0,0,0,no
1h_BB_Mid_Break_Bear_Short,0,0,0,0,0,no
1h_Supertrend_Bear_Short,0,0,0,0,0,no
1h_EFI_Zero_Cross_Bear_Short,0,0,0,0,0,no
1h_RSI_Mid_Bear_Cross_Short,0,0,0,0,0,no
1h_OBV_Bear_SMA_Cross_Short,0,0,0,0,0,no
1h_Keltner_Break_Bear_Short,0,0,0,0,0,no
1h_Donchian_Break_Bear_Short,0,0,0,0,0,no
1d_MACD_Neg_4h_Entry_Short,0,0,0,0,0,no
1h_RSI45_Break_CMF_Short,0,0,0,0,0,no
CMF_OBV_Confluence_Bear_Short,0,0,0,0,0,no
Fisher_CMF_Confirm_Bear_Short,0,0,0,0,0,no
Stoch_Bear_Cross_Short,0,0,0,0,0,no
WR_RSI_Bear_Confirm_Short,0,0,0,0,0,no
Aroon_CMF_Bear_Dual_Short,0,0,0,0,0,no
BB_RSI_Double_Bear_Short,0,0,0,0,0,no
1h_MACD_Zero_EFI_Short,0,0,0,0,0,no
Keltner_Breakout,0,0,0,0,0,no
DEMA_RSI_Bear_Short,0,0,0,0,0,no
ZLEMA_EFI_Bear_Short,0,0,0,0,0,no
DEMA_Pullback,0,0,0,0,0,no
PSAR_Trend,0,0,0,0,0,no
StochRSI_ADX_Bear_Short,0,0,0,0,0,no
EMA20_Cross_WMA34_CMF_ADX_Long,0,0,0,0,0,no
Supertrend_CMF_Bear_Short,0,0,0,0,0,no
EMA13_Cross_EMA55_Fisher_ADX_Long,0,0,0,0,0,no
ATR_CMF_Expand_Bear_Short,0,0,0,0,0,no
RSI_Fisher_Bear_Short,0,0,0,0,0,no
Coppock_KST_Bear_Short,0,0,0,0,0,no
WMA5_WMA13_Bear_Cross_Short,0,0,0,0,0,no
ATR_Expand_EFI_Bear_Short,0,0,0,0,0,no
ATR_Expand_Fisher_Bear_Short,0,0,0,0,0,no
ATR_Expand_WR_Bear_Short,0,0,0,0,0,no
WMA5_CMF_Bear_Short,0,0,0,0,0,no
Chandelier_Follow,0,0,0,0,0,no
Keltner_Mid_EFI_Bear_Short,0,0,0,0,0,no
Supertrend_Rider,0,0,0,0,0,no
WMA_RSI_Bear_Short,0,0,0,0,0,no
Multi_TF_ZScore_Short,0,0,0,0,0,no
ZLEMA_CMF_Bear_Short,0,0,0,0,0,no
DEMA_CMF_Bear_Short,0,0,0,0,0,no
Fisher_WR_Bear_Short,0,0,0,0,0,no
Multi_TF_ZScore_Long,0,0,0,0,0,no
CMF_BB_Touch,0,0,0,0,0,no
1h_WMA_Bear_CMF_Short,0,0,0,0,0,no
1h_WMA_EFI_Bear_Short,0,0,0,0,0,no
WMA5_WMA13_ADX_Bear_Short,0,0,0,0,0,no
WMA5_WMA13_EFI_Bear_Short,0,0,0,0,0,no
BB_Mid_EFI_Bear_Short,0,0,0,0,0,no
Narrow_Range_Breakout,0,0,0,0,0,no
Volatility_Squeeze_Entry,0,0,0,0,0,no
ZLEMA_ADX_Bear_Short,0,0,0,0,0,no
ZLEMA_Fisher_Bear_Short,0,0,0,0,0,no
DEMA_ADX_Strong_Bear_Short,0,0,0,0,0,no
DEMA_EFI_Bear_Short,0,0,0,0,0,no
1h_WMA9_WMA21_ADX_Bear_Short,0,0,0,0,0,no
1h_ZLEMA_CMF_Bear_Short,0,0,0,0,0,no
